ENSG00000196812.4	ZSCAN16
ENSG00000196867.7	ZFP28
ENSG00000196967.10	ZNF585A
ENSG00000197008.9	ZNF138
ENSG00000197013.9	ZNF429
ENSG00000197024.8	ZNF398
ENSG00000197044.10	ZNF441
ENSG00000197062.11	ZSCAN26
ENSG00000197063.10	MAFG
ENSG00000197114.11	ZGPAT
ENSG00000197134.11	ZNF257
ENSG00000197162.9	ZNF785
ENSG00000197279.3	ZNF165
ENSG00000197362.14	ZNF786
ENSG00000197372.9	ZNF675
ENSG00000197385.5	ZNF860
ENSG00000197472.14	ZNF695
ENSG00000197566.9	ZNF624
ENSG00000197619.13	ZNF615
ENSG00000197647.11	ZNF433
ENSG00000197714.8	ZNF460
ENSG00000197779.13	ZNF81
ENSG00000197782.14	ZNF780A
ENSG00000197841.14	ZNF181
ENSG00000197857.13	ZNF44
ENSG00000197863.8	ZNF790
ENSG00000197905.8	TEAD4
ENSG00000197928.10	ZNF677
ENSG00000197933.12	ZNF823
ENSG00000197935.6	ZNF311
ENSG00000197961.11	ZNF121
ENSG00000198026.7	ZNF335
ENSG00000198028.3	ZNF560
ENSG00000198039.11	ZNF273
ENSG00000198040.10	ZNF84
ENSG00000198046.11	ZNF667
ENSG00000198081.10	ZBTB14
ENSG00000198093.10	ZNF649
ENSG00000198105.13	ZNF248
ENSG00000198131.13	ZNF544
ENSG00000198146.4	ZNF770
ENSG00000198176.12	TFDP1
ENSG00000198185.11	ZNF334
ENSG00000198298.12	ZNF485
ENSG00000198315.10	ZKSCAN8
ENSG00000198342.9	ZNF442
ENSG00000198393.7	ZNF26
ENSG00000198429.9	ZNF69
ENSG00000198455.4	ZXDB
ENSG00000198464.13	ZNF480
ENSG00000198466.11	ZNF587
ENSG00000198482.11	ZNF808
ENSG00000198517.9	MAFK
ENSG00000198538.10	ZNF28
ENSG00000198551.9	ZNF627
ENSG00000198556.13	ZNF789
ENSG00000198633.10	ZNF534
ENSG00000198740.8	ZNF652
ENSG00000198783.5	ZNF830
ENSG00000198795.10	ZNF521
ENSG00000198824.6	CHAMP1
ENSG00000198911.11	SREBF2
ENSG00000203326.11	ZNF525
ENSG00000204103.3	MAFB
ENSG00000204231.10	RXRB
ENSG00000204304.11	PBX2
ENSG00000204335.3	SP5
ENSG00000204366.3	ZBTB12
ENSG00000204524.6	ZNF805
ENSG00000204531.17	POU5F1
ENSG00000204532.6	ZSCAN5C
ENSG00000204604.10	ZNF468
ENSG00000204611.6	ZNF616
ENSG00000204859.12	ZBTB48
ENSG00000204920.10	ZNF155
ENSG00000204946.9	ZNF783
ENSG00000204947.8	ZNF425
ENSG00000205189.11	ZBTB10
ENSG00000205250.8	E2F4
ENSG00000205903.6	ZNF316
ENSG00000213015.8	ZNF580
ENSG00000213020.9	ZNF611
ENSG00000213096.10	ZNF254
ENSG00000213347.10	MXD3
ENSG00000213762.11	ZNF134
ENSG00000213928.8	IRF9
ENSG00000213988.10	ZNF90
ENSG00000213999.15	MEF2B
ENSG00000214022.11	REPIN1
ENSG00000214029.4	ZNF891
ENSG00000214717.11_PAR_Y	ZBED1
ENSG00000215271.7	HOMEZ
ENSG00000215372.6	ZNF705G
ENSG00000215397.3	SCRT2
ENSG00000215421.9	ZNF407
ENSG00000218891.4	ZNF579
ENSG00000221869.4	CEBPD
ENSG00000221923.8	ZNF880
ENSG00000229676.2	ZNF492
ENSG00000230797.2	YY2
ENSG00000234284.6	ZNF879
ENSG00000234444.9	ZNF736
ENSG00000235109.7	ZSCAN31
ENSG00000243660.9	ZNF487
ENSG00000243678.11	NME2
ENSG00000243943.9	ZNF512
ENSG00000244405.7	ETV5
ENSG00000245680.9	ZNF585B
ENSG00000245848.2	CEBPA
ENSG00000249471.7	ZNF324B
ENSG00000249709.7	ZNF564
ENSG00000250571.6	GLI4
ENSG00000251192.7	ZNF674
ENSG00000251369.8	ZNF550
ENSG00000254004.6	ZNF260
ENSG00000256087.6	ZNF432
ENSG00000256223.5	ZNF10
ENSG00000256229.7	ZNF486
ENSG00000256294.7	ZNF225
ENSG00000256683.6	ZNF350
ENSG00000257923.10	CUX1
ENSG00000260027.4	HOXB7
ENSG00000260596.5	DUX4
ENSG00000261678.2	SCRT1
ENSG00000265763.3	ZNF488
ENSG00000266265.3	KLF14
ENSG00000267508.5	ZNF285
ENSG00000267680.5	ZNF224
ENSG00000269404.6	SPIB
ENSG00000272333.5	KMT2B
ENSG00000272602.5	ZNF595
ENSG00000274349.4	ZNF658
ENSG00000275111.4	ZNF2
ENSG00000275410.4	HNF1B
ENSG00000276644.4	DACH1
ENSG00000277258.4	PCGF2
ENSG00000277462.1	ZNF670
ENSG00000278129.1	ZNF8
